"","turnover00A","turnover01A","turnover10A","turnover11A","eps00A","eps01A","eps10A","eps11A","q00A_01A","q00A_10A","q00A_11A","q01A_00A","q01A_10A","q01A_11A","q10A_00A","q10A_01A","q10A_11A","q11A_00A","q11A_01A","q11A_10A","q00A_00B","q01A_01B","q10A_10B","q11A_11B","turnover00B","turnover01B","turnover10B","turnover11B","eps00B","eps01B","eps10B","eps11B","q00B_01B","q00B_10B","q00B_11B","q01B_00B","q01B_10B","q01B_11B","q10B_00B","q10B_01B","q10B_11B","q11B_00B","q11B_01B","q11B_10B","q00B_00A","q01B_01A","q10B_10A","q11B_11A","psi"
"11",1,2,11,3,4,4,11,4,7,11,11,6,11,9,11,11,11,11,8,11,10,10,10,10,1,2,11,3,5,5,11,5,7,11,11,6,11,9,11,11,11,11,8,11,10,10,10,10,11
"12",1,2,15,3,4,5,15,6,11,15,15,10,15,13,15,15,15,15,12,15,14,14,14,14,1,2,15,3,7,8,15,9,11,15,15,10,15,13,15,15,15,15,12,15,14,14,14,14,15
"13",1,1,9,1,3,3,9,3,5,9,9,4,9,7,9,9,9,9,6,9,8,8,8,8,2,2,9,2,3,3,9,3,5,9,9,4,9,7,9,9,9,9,6,9,8,8,8,8,9
"14",1,1,11,1,3,4,11,5,7,11,11,6,11,9,11,11,11,11,8,11,10,10,10,10,2,2,11,2,3,4,11,5,7,11,11,6,11,9,11,11,11,11,8,11,10,10,10,10,11
"15",1,1,10,1,3,3,10,3,6,10,10,5,10,8,10,10,10,10,7,10,9,9,9,9,2,2,10,2,4,4,10,4,6,10,10,5,10,8,10,10,10,10,7,10,9,9,9,9,10
"16",1,1,14,1,3,4,14,5,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,2,2,14,2,6,7,14,8,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,14
"17",1,2,13,3,7,7,13,7,9,13,13,8,13,11,13,13,13,13,10,13,12,12,12,12,4,5,13,6,7,7,13,7,9,13,13,8,13,11,13,13,13,13,10,13,12,12,12,12,13
"18",1,2,15,3,7,8,15,9,11,15,15,10,15,13,15,15,15,15,12,15,14,14,14,14,4,5,15,6,7,8,15,9,11,15,15,10,15,13,15,15,15,15,12,15,14,14,14,14,15
"19",1,2,14,3,7,7,14,7,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,4,5,14,6,8,8,14,8,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,14
"20",1,2,18,3,7,8,18,9,14,18,18,13,18,16,18,18,18,18,15,18,17,17,17,17,4,5,18,6,10,11,18,12,14,18,18,13,18,16,18,18,18,18,15,18,17,17,17,17,18
"21",1,1,12,1,2,2,12,2,4,12,12,3,12,6,12,12,12,12,5,12,11,11,11,11,1,1,12,1,2,2,12,2,8,12,12,7,12,10,12,12,12,12,9,12,11,11,11,11,12
"22",1,1,14,1,2,3,14,4,6,14,14,5,14,8,14,14,14,14,7,14,13,13,13,13,1,1,14,1,2,3,14,4,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,14
"23",1,1,13,1,2,2,13,2,5,13,13,4,13,7,13,13,13,13,6,13,12,12,12,12,1,1,13,1,3,3,13,3,9,13,13,8,13,11,13,13,13,13,10,13,12,12,12,12,13
"24",1,1,17,1,2,3,17,4,9,17,17,8,17,11,17,17,17,17,10,17,16,16,16,16,1,1,17,1,5,6,17,7,13,17,17,12,17,15,17,17,17,17,14,17,16,16,16,16,17
"25",1,2,14,3,4,4,14,4,6,14,14,5,14,8,14,14,14,14,7,14,13,13,13,13,1,2,14,3,4,4,14,4,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,14
"26",1,2,16,3,4,5,16,6,8,16,16,7,16,10,16,16,16,16,9,16,15,15,15,15,1,2,16,3,4,5,16,6,12,16,16,11,16,14,16,16,16,16,13,16,15,15,15,15,16
"27",1,2,15,3,4,4,15,4,7,15,15,6,15,9,15,15,15,15,8,15,14,14,14,14,1,2,15,3,5,5,15,5,11,15,15,10,15,13,15,15,15,15,12,15,14,14,14,14,15
"28",1,2,19,3,4,5,19,6,11,19,19,10,19,13,19,19,19,19,12,19,18,18,18,18,1,2,19,3,7,8,19,9,15,19,19,14,19,17,19,19,19,19,16,19,18,18,18,18,19
"29",1,1,13,1,3,3,13,3,5,13,13,4,13,7,13,13,13,13,6,13,12,12,12,12,2,2,13,2,3,3,13,3,9,13,13,8,13,11,13,13,13,13,10,13,12,12,12,12,13
"30",1,1,15,1,3,4,15,5,7,15,15,6,15,9,15,15,15,15,8,15,14,14,14,14,2,2,15,2,3,4,15,5,11,15,15,10,15,13,15,15,15,15,12,15,14,14,14,14,15
"31",1,1,14,1,3,3,14,3,6,14,14,5,14,8,14,14,14,14,7,14,13,13,13,13,2,2,14,2,4,4,14,4,10,14,14,9,14,12,14,14,14,14,11,14,13,13,13,13,14
"32",1,1,18,1,3,4,18,5,10,18,18,9,18,12,18,18,18,18,11,18,17,17,17,17,2,2,18,2,6,7,18,8,14,18,18,13,18,16,18,18,18,18,15,18,17,17,17,17,18
"33",1,2,17,3,7,7,17,7,9,17,17,8,17,11,17,17,17,17,10,17,16,16,16,16,4,5,17,6,7,7,17,7,13,17,17,12,17,15,17,17,17,17,14,17,16,16,16,16,17
"34",1,2,19,3,7,8,19,9,11,19,19,10,19,13,19,19,19,19,12,19,18,18,18,18,4,5,19,6,7,8,19,9,15,19,19,14,19,17,19,19,19,19,16,19,18,18,18,18,19
"35",1,2,18,3,7,7,18,7,10,18,18,9,18,12,18,18,18,18,11,18,17,17,17,17,4,5,18,6,8,8,18,8,14,18,18,13,18,16,18,18,18,18,15,18,17,17,17,17,18
"36",1,2,22,3,7,8,22,9,14,22,22,13,22,16,22,22,22,22,15,22,21,21,21,21,4,5,22,6,10,11,22,12,18,22,22,17,22,20,22,22,22,22,19,22,21,21,21,21,22
