"species","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Allium ochotense Prokh.",0.84,0.16,"closed","closed","closed",0,1
"Allium trifoliatum Cirillo",0.44,0.56,"open","open","closed",1,1
"Allium pallens L.",0.08,0.92,"open","open","open",1,0
"Allium polyanthum Schult. & Schult.f.",0.26,0.74,"open","open","open",1,1
"Allium moschatum L.",0.33,0.67,"open","open","open",1,1
"Allium strictum Schrad.",0.58,0.42,"closed","open","closed",1,1
"Allium caeruleum Pall.",0.28,0.72,"open","open","open",1,1
"Allium oreophilum C.A.Mey.",0.52,0.48,"closed","open","closed",1,1
"Allium hollandicum R.M.Fritsch",0.99,0.01,"closed","closed","closed",0,1
"Allium nigrum L.",0.26,0.74,"open","open","open",1,1
"Allium jesdianum Boiss. & Buhse",0.6,0.4,"closed","closed","closed",1,1
"Allium fibrillum M.E.Jones",0.87,0.13,"closed","closed","closed",0,1
"Allium drummondii Regel",0.16,0.84,"open","open","open",1,0
"Allium textile A.Nelson & J.F.Macbr.",0.13,0.87,"open","open","open",1,0
"Allium perdulce S.V.Fraser",0,1,"open","open","open",1,0
"Allium brandegeei S.Watson",0.61,0.39,"closed","closed","closed",1,1
"Allium tolmiei Baker",0.48,0.52,"open","open","closed",1,1
"Allium brevistylum S.Watson",0.83,0.17,"closed","closed","closed",0,1
"Allium ramosum L.",0.5,0.5,"closed","open","closed",1,1
"Allium tanguticum Regel",0.41,0.59,"open","open","closed",1,1
"Allium lemmonii S.Watson",0.3,0.7,"open","open","open",1,1
"Allium douglasii Hook.",0.42,0.58,"open","open","closed",1,1
"Allium macrum S.Watson",0.45,0.55,"open","open","closed",1,1
"Allium mongolicum Regel",0.17,0.83,"open","open","open",1,0
"Allium serra McNeal & Ownbey",0.11,0.89,"open","open","open",1,0
"Allium crenulatum Wiegand",0.95,0.05,"closed","closed","closed",0,1
"Allium atrosanguineum Schrenk",0.26,0.74,"open","open","open",1,1
"Allium nevadense S.Watson",0.04,0.96,"open","open","open",1,0
"Allium longisepalum Bertol.",0.75,0.25,"closed","closed","closed",0,1
"Allium columbianum (Ownbey & Mingrone) P.M.Peterson, Annable & Rieseberg",0.3,0.7,"open","open","open",1,1
"Allium nevii S.Watson",0.58,0.42,"closed","open","closed",1,1
"Allium prattii C.H.Wright",0.66,0.34,"closed","closed","closed",1,1
"Allium robinsonii L.F.Hend.",0.31,0.69,"open","open","open",1,1
"Allium scilloides Douglas ex S.Watson",0.23,0.77,"open","open","open",1,0
"Allium fimbriatum var. purdyi (Eastw.) Ownbey ex McNeal",0.09,0.91,"open","open","open",1,0
"Allium obtusum Lemmon",0.94,0.06,"closed","closed","closed",0,1
"Allium jepsonii (Ownbey & Aase ex Traub) S.S.Denison & McNeal",0.37,0.63,"open","open","open",1,1
"Allium caesium Schrenk",0.06,0.94,"open","open","open",1,0
"Allium geyeri var. tenerum M.E.Jones",0.74,0.26,"closed","closed","closed",1,1
"Allium obliquum L.",0.59,0.41,"closed","open","closed",1,1
"Allium atrorubens S.Watson",0.07,0.93,"open","open","open",1,0
"Allium regelii Trautv.",0,1,"open","open","open",1,0
"Allium forrestii Diels",0.78,0.22,"closed","closed","closed",0,1
"Allium polyrhizum Turcz. ex Regel",0.06,0.94,"open","open","open",1,0
"Allium simillimum L.F.Hend.",0.65,0.35,"closed","closed","closed",1,1
"Allium elmendorfii M.E.Jones ex Ownbey",0.68,0.32,"closed","closed","closed",1,1
"Allium atroviolaceum Boiss.",0.18,0.82,"open","open","open",1,0
"Allium bigelovii S.Watson",0.38,0.62,"open","open","open",1,1
"Allium orientale Boiss.",0.03,0.97,"open","open","open",1,0
"Allium membranaceum Ownbey ex Traub",0.72,0.28,"closed","closed","closed",1,1
"Allium platyspathum Schrenk ex Fisch. & C.A.Mey.",0.08,0.92,"open","open","open",1,0
"Allium massaessylum Batt. & Trab.",0.03,0.97,"open","open","open",1,0
"Allium vodopjanovae N.Friesen",0.34,0.66,"open","open","open",1,1
"Allium scabriscapum Boiss.",0.28,0.72,"open","open","open",1,1
"Allium aschersonianum Barbey",0,1,"open","open","open",1,0
"Allium gooddingii Ownbey",0.67,0.33,"closed","closed","closed",1,1
"Allium przewalskianum Regel",0.25,0.75,"open","open","open",1,0
"Allium chamaespathum Boiss.",0.03,0.97,"open","open","open",1,0
"Allium phthioticum Boiss. & Heldr.",0,1,"open","open","open",1,0
"Allium tribracteatum Torr.",0.85,0.15,"closed","closed","closed",0,1
"Allium plummerae S.Watson",0.79,0.21,"closed","closed","closed",0,1
"Allium negevense Kollmann",0,1,"open","open","open",1,0
"Allium madidum S.Watson",0.96,0.04,"closed","closed","closed",0,1
"Allium punctum L.F.Hend.",0.2,0.8,"open","open","open",1,0
"Allium howellii Eastw.",0.1,0.9,"open","open","open",1,0
"Allium komarowii Lipsky",0,1,"open","open","open",1,0
"Allium shevockii McNeal",0.2,0.8,"open","open","open",1,0
"Allium stipitatum Regel",0.54,0.46,"closed","open","closed",1,1
"Allium hoffmanii Ownbey ex Traub",0.93,0.07,"closed","closed","closed",0,1
"Allium glandulosum Link & Otto",0.8,0.2,"closed","closed","closed",0,1
"Allium aflatunense B.Fedtsch.",0.61,0.39,"closed","closed","closed",1,1
"Allium pskemense B.Fedtsch.",0,1,"open","open","open",1,0
"Allium cristophii Trautv.",0.9,0.1,"closed","closed","closed",0,1
"Allium ledebourianum Schult. & Schult.f.",0.54,0.46,"closed","open","closed",1,1
"Allium flavidum Ledeb.",0.51,0.49,"closed","open","closed",1,1
"Allium griffithianum Boiss.",0.07,0.93,"open","open","open",1,0
"Allium saxatile M.Bieb.",0.56,0.44,"closed","open","closed",1,1
"Allium jodanthum Vved.",0,1,"open","open","open",1,0
"Allium commutatum Guss.",0.02,0.98,"open","open","open",1,0
"Allium nutans L.",0.36,0.64,"open","open","open",1,1
"Allium talassicum Regel",0,1,"open","open","open",1,0
"Allium altaicum Pall.",0.39,0.61,"open","open","open",1,1
"Allium erdelii Zucc.",0,1,"open","open","open",1,0
"Allium chinense G.Don",0.94,0.06,"closed","closed","closed",0,1
"Allium carolinianum Redouté",0.1,0.9,"open","open","open",1,0
"Allium sikkimense Baker",0.36,0.64,"open","open","open",1,1
"Allium cardiostemon Fisch. & C.A.Mey.",0.67,0.33,"closed","closed","closed",1,1
"Allium vavilovii Popov & Vved.",0.25,0.75,"open","open","open",1,0
"Allium beesianum W.W.Sm.",0.7,0.3,"closed","closed","closed",1,1
"Allium schoenoprasoides Regel",0.19,0.81,"open","open","open",1,0
"Allium runyonii Ownbey",0,1,"open","open","open",1,0
"Allium shelkovnikovii Grossh.",0.83,0.17,"closed","closed","closed",0,1
"Allium oschaninii O.Fedtsch.",0.02,0.98,"open","open","open",1,0
"Allium tenuissimum L.",0.45,0.55,"open","open","closed",1,1
"Allium denudatum Redouté",0.67,0.33,"closed","closed","closed",1,1
"Allium oreoprasum Schrenk",0.01,0.99,"open","open","open",1,0
"Allium rude J.M.Xu",0.44,0.56,"open","open","closed",1,1
"Allium oliganthum Kar. & Kir.",0.09,0.91,"open","open","open",1,0
"Allium tenuiflorum Ten.",0.15,0.85,"open","open","open",1,0
"Allium bidentatum Fisch. ex Prokh. & Ikonn.-Gal.",0.31,0.69,"open","open","open",1,1
"Allium dictuon H.St.John",0.86,0.14,"closed","closed","closed",0,1
"Allium macranthum Baker",0.55,0.45,"closed","open","closed",1,1
"Allium galanthum Kar. & Kir.",0.05,0.95,"open","open","open",1,0
"Allium subtilissimum Ledeb.",0,1,"open","open","open",1,0
"Allium austrosibiricum N.Friesen",0.25,0.75,"open","open","open",1,0
"Allium fetisowii Regel",0.11,0.89,"open","open","open",1,0
"Allium splendens Willd. ex Schult. & Schult.f.",0.79,0.21,"closed","closed","closed",0,1
"Allium atrosanguineum var. atrosanguineum",0.64,0.36,"closed","closed","closed",1,1
"Allium flavescens Besser",0.46,0.54,"open","open","closed",1,1
"Allium maximowiczii Regel",0.71,0.29,"closed","closed","closed",1,1
"Allium carmeli Boiss.",0,1,"open","open","open",1,0
"Allium cuthbertii Small",1,0,"closed","closed","closed",0,1
"Allium longispathum Redouté",0.34,0.66,"open","open","open",1,1
"Allium karataviense Regel",0.11,0.89,"open","open","open",1,0
"Allium rubens Spreng.",0.44,0.56,"open","open","closed",1,1
"Allium suworowii Regel",0,1,"open","open","open",1,0
"Allium tenuicaule Regel",0,1,"open","open","open",1,0
"Allium sewerzowii Regel",0,1,"open","open","open",1,0
"Allium coryi M.E.Jones",0.29,0.71,"open","open","open",1,1
"Allium chrysocephalum Regel",0.19,0.81,"open","open","open",1,0
"Allium pallasii Murray",0.04,0.96,"open","open","open",1,0
"Allium wallichii Kunth",0.79,0.21,"closed","closed","closed",0,1
"Allium trachyscordum Vved.",0,1,"open","open","open",1,0
"Allium ovalifolium Hand.-Mazz.",0.78,0.22,"closed","closed","closed",0,1
"Allium schubertii Zucc.",0.3,0.7,"open","open","open",1,1
"Allium chrysanthum Regel",0.51,0.49,"closed","open","closed",1,1
"Allium taeniopetalum subsp. mogoltavicum (Vved.) R.M.Fritsch & F.O.Khass.",0,1,"open","open","open",1,0
"Allium fasciculatum Rendle",0.22,0.78,"open","open","open",1,0
"Allium tulipifolium Ledeb.",0.15,0.85,"open","open","open",1,0
"Allium eurotophilum Wiggins",0.6,0.4,"closed","closed","closed",1,1
"Allium siculum Ucria",0.89,0.11,"closed","closed","closed",0,1
"Allium ellisii Hook.f.",0,1,"open","open","open",1,0
"Allium subvillosum Salzm. ex Schult. & Schult.f.",0.12,0.88,"open","open","open",1,0
"Allium schmitzii Cout.",0.15,0.85,"open","open","open",1,0
"Allium pyrenaicum Costa & Vayr.",0.65,0.35,"closed","closed","closed",1,1
"Allium insubricum Boiss. & Reut.",0.89,0.11,"closed","closed","closed",0,1
"Allium pentadactyli Brullo, Pavone & Spamp",0,1,"open","open","open",1,0
"Allium altyncolicum N.Friesen",0.79,0.21,"closed","closed","closed",0,1
"Allium noeanum Reut. ex Regel",0,1,"open","open","open",1,0
"Allium cyrilli Ten.",0.31,0.69,"open","open","open",1,1
"Allium speculae Ownbey & Aase",0.94,0.06,"closed","closed","closed",0,1
"Allium hymenorhizum Ledeb.",0.22,0.78,"open","open","open",1,0
"Allium drobovii Vved.",0,1,"open","open","open",1,0
"Allium scorzonerifolium Desf. ex Redouté",0.36,0.64,"open","open","open",1,1
"Allium eremoprasum Vved.",0,1,"open","open","open",1,0
"Allium derderianum Regel",1,0,"closed","closed","closed",0,1
"Allium cyathophorum Bureau & Franch.",0.45,0.55,"open","open","closed",1,1
"Allium drepanophyllum Vved.",0,1,"open","open","open",1,0
"Allium yosemitense Eastw.",1,0,"closed","closed","closed",0,1
"Allium altissimum Regel",0.55,0.45,"closed","open","closed",1,1
"Allium umbilicatum Boiss.",0.11,0.89,"open","open","open",1,0
"Allium kokanicum Regel",0.03,0.97,"open","open","open",1,0
"Allium subangulatum Regel",0,1,"open","open","open",1,0
"Allium parciflorum Viv.",0,1,"open","open","open",1,0
"Allium eusperma Airy Shaw",0.25,0.75,"open","open","open",1,0
"Allium rothii Zucc.",0,1,"open","open","open",1,0
"Allium teretifolium Regel",0,1,"open","open","open",1,0
"Allium materculae Bordz.",0.31,0.69,"open","open","open",1,1
"Allium nanodes Airy Shaw",0.57,0.43,"closed","open","closed",1,1
"Allium macleanii Baker",0.45,0.55,"open","open","closed",1,1
"Allium truncatum (Feinbrun) Kollmann & D.Zohary",0,1,"open","open","open",1,0
"Allium hookeri Thwaites",0.88,0.12,"closed","closed","closed",0,1
"Allium akaka S.G.Gmel. ex Schult. & Schult.f.",0.55,0.45,"closed","open","closed",1,1
"Allium praemixtum Vved.",0,1,"open","open","open",1,0
"Allium platyspathum subsp. amblyophyllum (Kar. & Kir.) N.Friesen",0.38,0.62,"open","open","open",1,1
"Allium clathratum Ledeb.",0.31,0.69,"open","open","open",1,1
"Allium costatovaginatum Kamelin & Levichev",0,1,"open","open","open",1,0
"Allium atropurpureum Waldst. & Kit.",0.92,0.08,"closed","closed","closed",0,1
"Allium filidens Regel",0.02,0.98,"open","open","open",1,0
"Allium robustum Kar. & Kir.",0.18,0.82,"open","open","open",1,0
"Allium petraeum Kar. & Kir.",0,1,"open","open","open",1,0
"Allium kunthianum Vved.",0.88,0.12,"closed","closed","closed",0,1
"Allium tytthocephalum Schult. & Schult.f.",0.58,0.42,"closed","open","closed",1,1
"Allium semenovii Regel",0.21,0.79,"open","open","open",1,0
"Allium passeyi N.H.Holmgren & A.H.Holmgren",0,1,"open","open","open",1,0
"Allium decipiens Fisch. ex Schult. & Schult.f.",0.26,0.74,"open","open","open",1,1
"Allium listera Stearn",1,0,"closed","closed","closed",0,1
"Allium funckiifolium Hand.-Mazz.",1,0,"closed","closed","closed",0,1
"Allium prostratum Trevir.",0.51,0.49,"closed","open","closed",1,1
"Allium setifolium Schrenk ex Fisch. & C.A.Mey.",0.3,0.7,"open","open","open",1,1
"Allium longifolium (Kunth) Spreng.",0.81,0.19,"closed","closed","closed",0,1
"Allium condensatum Turcz.",0.58,0.42,"closed","open","closed",1,1
"Allium papillare Boiss.",0,1,"open","open","open",1,0
"Allium cassium Boiss.",0,1,"open","open","open",1,0
"Allium kopetdagense Vved.",0,1,"open","open","open",1,0
"Allium sanbornii var. sanbornii",0.65,0.35,"closed","closed","closed",1,1
"Allium obtusum var. obtusum",0.94,0.06,"closed","closed","closed",0,1
"Allium acutiflorum Loisel.",0.17,0.82,"open","open","open",1,0
"Allium savii Parl.",0,1,"open","open","open",1,0
"Allium cupani Raf.",0.13,0.87,"open","open","open",1,0
"Allium dasyphyllum Vved.",0,1,"open","open","open",1,0
"Allium inaequale Janka",0.15,0.85,"open","open","open",1,0
"Allium flavum subsp. tauricum (Besser ex Rchb.) K.Richt.",0.26,0.74,"open","open","open",1,1
"Allium zebdanense Boiss. & Noë",0.95,0.05,"closed","closed","closed",0,1
"Allium candolleanum Albov",1,0,"closed","closed","closed",0,1
"Allium leucocephalum Turcz. ex Ledeb.",0.26,0.74,"open","open","open",1,1
"Allium iranicum (Wendelbo) Wendelbo",0.6,0.4,"closed","closed","closed",1,1
"Allium lehmannii Lojac.",0,1,"open","open","open",1,0
"Allium tuvinicum (N.Friesen) N.Friesen",0.46,0.54,"open","open","closed",1,1
"Allium rupestre Steven",0.8,0.2,"closed","closed","closed",0,1
"Allium heldreichii Boiss.",0,1,"open","open","open",1,0
"Allium xiphopetalum Aitch. & Baker",0.12,0.88,"open","open","open",1,0
"Allium breviscapum Stapf",0.8,0.2,"closed","closed","closed",0,1
"Allium webbii Clementi",1,0,"closed","closed","closed",0,1
"Allium pseudoampeloprasum Miscz. ex Grossh.",0.5,0.5,"closed","open","closed",1,1
"Allium schistosum N.Friesen & Seregin",1,0,"closed","closed","closed",0,1
"Allium marschallianum Vved.",0.93,0.07,"closed","closed","closed",0,1
"Allium stellerianum Willd.",0.56,0.44,"closed","open","closed",1,1
"Allium montanostepposum N.Friesen & Seregin",0.13,0.87,"open","open","open",1,0
"Allium siculum subsp. dioscoridis (Sm.) K.Richt.",0.87,0.13,"closed","closed","closed",0,1
"Allium canariense (Regel) N.Friesen & P.Schönfelder",0,1,"open","open","open",1,0
"Allium turkestanicum Regel",0.04,0.96,"open","open","open",1,0
"Allium protensum Wendelbo",0,1,"open","open","open",1,0
"Allium rosenorum R.M.Fritsch",0.91,0.09,"closed","closed","closed",0,1
"Allium psebaicum Mikheev",1,0,"closed","closed","closed",0,1
"Allium cretaceum N.Friesen & Seregin",0.53,0.47,"closed","open","closed",1,1
"Allium horvatii Lovric",0.41,0.59,"open","open","closed",1,1
"Allium austrodanubiense N.Friesen & Seregin",0.2,0.8,"open","open","open",1,0
"Allium daghestanicum Grossh.",0.5,0.5,"closed","open","closed",1,1
"Allium spirale Schweigg.",0.83,0.17,"closed","closed","closed",0,1
"Allium saralicum R.M.Fritsch",0.67,0.33,"closed","closed","closed",1,1
"Allium synnotii G.Don",0,1,"open","open","open",1,0
"Allium gunibicum Miscz. ex Grossh.",0.73,0.27,"closed","closed","closed",1,1
"Allium kaschianum Regel",0.12,0.88,"open","open","open",1,0
"Allium chamarense M.M.Ivanova",0.74,0.26,"closed","closed","closed",1,1
"Allium tarkhankuticum Seregin",0,1,"open","open","open",1,0
"Allium litvinovii Drobow ex Vved.",0,1,"open","open","open",1,0
"Allium karelinii Poljak.",0.1,0.9,"open","open","open",1,0
"Allium ubsicola Regel",0.18,0.82,"open","open","open",1,0
"Allium spurium G.Don",0.52,0.48,"closed","open","closed",1,1
"Allium sarawschanicum Regel",0,1,"open","open","open",1,0
"Allium xichuanense J.M.Xu",0.75,0.25,"closed","closed","closed",0,1
"Allium eduardi Stearn ex Airy Shaw",0.21,0.79,"open","open","open",1,0
"Allium tubiflorum Rendle",0.96,0.04,"closed","closed","closed",0,1
"Allium neriniflorum (Herb.) G.Don",0.57,0.43,"closed","open","closed",1,1
"Allium longistylum Baker",0.74,0.26,"closed","closed","closed",1,1
"Allium hookeri var. muliense Airy Shaw",0.62,0.38,"closed","closed","closed",1,1
"Allium glomeratum Prokh.",0.07,0.93,"open","open","open",1,0
"Allium dentigerum Prokh.",0.33,0.67,"open","open","open",1,1
"Allium agrigentinum Brullo & Pavone",0,1,"open","open","open",1,0
"Allium garganicum Brullo, Pavone, Salmeri & Terrasi",0,1,"open","open","open",1,0
"Allium castellanense (Garbari, Miceli & Raimondo) Brullo, Guglielmo, Pavone & Salmeri",0,1,"open","open","open",1,0
"Allium grande Lipsky",0.25,0.75,"open","open","open",1,0
"Allium malyschevii N.Friesen",0.72,0.28,"closed","closed","closed",1,1
"Allium koreanum H.J.Choi & B.U.Oh",1,0,"closed","closed","closed",0,1
"Allium cirrhosum Vand.",0.89,0.11,"closed","closed","closed",0,1
"Allium hirtovaginatum Kunth",0.33,0.67,"open","open","open",1,1
"Allium gasyunense Mouterde",0,1,"open","open","open",1,0
"Allium tschimganicum B.Fedtsch.",0,1,"open","open","open",1,0
"Allium kingdonii Stearn",0.56,0.44,"closed","open","closed",1,1
"Allium chitralicum F.T.Wang & Tang",0,1,"open","open","open",1,0
"Allium humile Kunth",0.56,0.44,"closed","open","closed",1,1
"Allium gilgiticum F.T.Wang & Tang",0,1,"open","open","open",1,0
"Allium tianschanicum Rupr.",0.04,0.96,"open","open","open",1,0
"Allium roylei Stearn",0.33,0.67,"open","open","open",1,1
"Allium changduense J.M.Xu",0.44,0.56,"open","open","closed",1,1
"Allium burjaticum N.Friesen",0.41,0.59,"open","open","closed",1,1
"Allium senescens subsp. senescens",0.52,0.48,"closed","open","closed",1,1
"Allium trifurcatum (F.T.Wang & Tang) J.M.Xu",1,0,"closed","closed","closed",0,1
"Allium inutile Makino",1,0,"closed","closed","closed",0,1
"Allium leucanthum K.Koch",0.36,0.64,"open","open","open",1,1
"Allium bourgeaui subsp. bourgeaui",0,1,"open","open","open",1,0
"Allium tardans Greuter & Zahar.",0,1,"open","open","open",1,0
"Allium togashii H.Hara",1,0,"closed","closed","closed",0,1
"Allium maowenense J.M.Xu",1,0,"closed","closed","closed",0,1
"Allium ovalifolium var. cordifolium (J.M.Xu) J.M.Xu",0.75,0.25,"closed","closed","closed",0,1
"Allium ovalifolium var. leuconeurum J.M.Xu",0.73,0.27,"closed","closed","closed",1,1
"Allium winklerianum Regel",0,1,"open","open","open",1,0
"Allium dshungaricum Vved.",0,1,"open","open","open",1,0
"Allium elegans Drobow",0,1,"open","open","open",1,0
"Allium taeniopetalum Popov & Vved.",0,1,"open","open","open",1,0
"Allium rupestristepposum N.Friesen",0.5,0.5,"closed","open","closed",1,1
"Allium thunbergii var. teretifolium H.J.Choi & B.U.Oh",1,0,"closed","closed","closed",0,1
"Allium weschniakowii Regel",0,1,"open","open","open",1,0
"Allium plurifoliatum var. zhegushanense J.M.Xu",0.75,0.25,"closed","closed","closed",0,1
"Allium obtusiflorum Redouté",0,1,"open","open","open",1,0
"Allium margaritae B.Fedtsch.",0,1,"open","open","open",1,0
"Allium hissaricum Vved.",0,1,"open","open","open",1,0
"Allium bucharicum Regel",0,1,"open","open","open",1,0
"Allium nevskianum Vved. ex Wendelbo",0,1,"open","open","open",1,0
"Allium backhousianum Regel",0,1,"open","open","open",1,0
"Allium minus (S.O.Yu, S.Lee & W.Lee) H.J.Choi & B.U.Oh",1,0,"closed","closed","closed",0,1
"Allium tripedale Trautv.",0.15,0.85,"open","open","open",1,0
"Allium alexeianum Regel",0,1,"open","open","open",1,0
"Allium ubipetrense R.M.Fritsch",0.44,0.56,"open","open","closed",1,1
"Allium viridulum Ledeb.",0,1,"open","open","open",1,0
"Allium vvedenskyanum Pavlov",0,1,"open","open","open",1,0
"Allium severtzovioides R.M.Fritsch",0,1,"open","open","open",1,0
"Allium verticillatum Regel",0,1,"open","open","open",1,0
"Allium intradarvazicum R.M.Fritsch",0,1,"open","open","open",1,0
"Allium asarense R.M.Fritsch & Matin",1,0,"closed","closed","closed",0,1
"Allium assadii Seisums",0,1,"open","open","open",1,0
"Allium jesdianum subsp. angustitepalum (Wendelbo) F.O.Khass. & R.M.Fritsch",0,1,"open","open","open",1,0
"Allium sordidiflorum Vved.",0.08,0.92,"open","open","open",1,0
"Allium brachyscapum Vved.",0,1,"open","open","open",1,0
"Allium elburzense Wendelbo",1,0,"closed","closed","closed",0,1
"Allium hamedanense R.M.Fritsch",1,0,"closed","closed","closed",0,1
"Allium darwasicum Regel",0,1,"open","open","open",1,0
"Allium crystallinum Vved.",0,1,"open","open","open",1,0
