"genera","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Albizia harveyi E.Fourn.",0.14,0.86,"open","open","open",1,0
"Dichrostachys cinerea (L.) Wight & Arn.",0.39,0.61,"open","open","open",1,1
"Chamaecrista absus (L.) H.S.Irwin & Barneby",0.26,0.74,"open","open","open",1,1
"Senegalia ataxacantha (DC.) Kyal. & Boatwr.",0.12,0.88,"open","open","open",1,0
"Senegalia adenocalyx (Brenan & Exell) Kyal. & Boatwr.",0.57,0.43,"closed","open","closed",1,1
"Senegalia nigrescens (Oliv.) P.J.H.Hurter",0.23,0.77,"open","open","open",1,0
"Albizia brevifolia Schinz",0,1,"open","open","open",1,0
"Albizia anthelmintica (A.Rich.) Brongn.",0.16,0.84,"open","open","open",1,0
"Albizia amara (Roxb.) Boivin",0.29,0.71,"open","open","open",1,1
"Albizia amara subsp. sericocephala (Benth.) Brenan",0.1,0.9,"open","open","open",1,0
"Senegalia kraussiana (Meisn. ex Benth.) Kyal. & Boatwr.",1,0,"closed","closed","closed",0,1
"Dichrostachys (A.DC.) Wight & Arn.",0.44,0.56,"open","open","closed",1,1
"Eugenia L.",0.75,0.25,"closed","closed","closed",0,1
"Asclepias L.",0.56,0.44,"closed","open","closed",1,1
"Setaria P.Beauv.",0.53,0.47,"closed","open","closed",1,1
"Quercus L.",0.72,0.28,"closed","closed","closed",1,1
"Lupinus L.",0.47,0.53,"open","open","closed",1,1
"Eucalyptus L'Hér.",0.21,0.79,"open","open","open",1,0
"Acacia Mill.",0.16,0.84,"open","open","open",1,0
"Hakea Schrad.",0,1,"open","open","open",1,0
"Eragrostis Wolf",0.38,0.62,"open","open","open",1,1
"Casuarina L.",0.53,0.47,"closed","open","closed",1,1
"Astroloma R.Br.",0.14,0.86,"open","open","open",1,0
"Ruellia L.",0.59,0.41,"closed","open","closed",1,1
"Gymnostoma L.A.S.Johnson",1,0,"closed","closed","closed",0,1
"Lycium L.",0.13,0.87,"open","open","open",1,0
"Nothofagus Blume",0.91,0.09,"closed","closed","closed",0,1
"Lithocarpus Blume",0.97,0.03,"closed","closed","closed",0,1
"Gaultheria Kalm ex L.",0.78,0.22,"closed","closed","closed",0,1
"Myrcianthes O.Berg",0.81,0.19,"closed","closed","closed",0,1
"Psidium L.",0.61,0.39,"closed","closed","closed",1,1
"Trichilia P.Browne",0.82,0.18,"closed","closed","closed",0,1
"Guarea L.",0.85,0.15,"closed","closed","closed",0,1
"Malmea R.E.Fr.",1,0,"closed","closed","closed",0,1
"Mimosa L.",0.53,0.47,"closed","open","closed",1,1
"Piptadenia Benth.",0.64,0.36,"closed","closed","closed",1,1
"Sphaeradenia Harling",0.96,0.04,"closed","closed","closed",0,1
"Dicranopygium Harling",0.99,0.01,"closed","closed","closed",0,1
"Pachira Aubl.",0.92,0.08,"closed","closed","closed",0,1
"Neuontobotrys O.E.Schulz",0,1,"open","open","open",1,0
"Arabis L.",0.53,0.47,"closed","open","closed",1,1
"Streptocarpus Lindl.",0.72,0.28,"closed","closed","closed",1,1
"Lysimachia L.",0.79,0.21,"closed","closed","closed",0,1
"Heliconia L.",0.87,0.13,"closed","closed","closed",0,1
"Myrcia DC. ex Guill.",0.65,0.35,"closed","closed","closed",1,1
"Siphocampylus Pohl",0.76,0.24,"closed","closed","closed",0,1
"Zapoteca H.M.Hern.",0.78,0.22,"closed","closed","closed",0,1
"Vriesea Lindl.",0.89,0.11,"closed","closed","closed",0,1
"Calliandra Benth.",0.58,0.42,"closed","open","closed",1,1
"Cenchrus L.",0.46,0.54,"open","open","closed",1,1
"Leandra Raddi",0.82,0.18,"closed","closed","closed",0,1
"Myrciaria O.Berg",0.61,0.39,"closed","closed","closed",1,1
"Trianaea Planch. & Linden",1,0,"closed","closed","closed",0,1
"Burmeistera H.Karst. & Triana",0.95,0.05,"closed","closed","closed",0,1
"Senegalia Raf.",0.49,0.51,"open","open","closed",1,1
"Vellozia Vand.",0.33,0.67,"open","open","open",1,1
"Couepia Aubl.",0.76,0.24,"closed","closed","closed",0,1
"Peponidium (Baill.) Arènes",0.86,0.14,"closed","closed","closed",0,1
"Eriotheca Schott & Endl.",0.65,0.35,"closed","closed","closed",1,1
"Dichaetanthera Endl.",0.91,0.09,"closed","closed","closed",0,1
"Brachiaria (Trin.) Griseb.",0.44,0.56,"open","open","closed",1,1
"Vachellia Wight & Arn.",0.4,0.6,"open","open","closed",1,1
"Chlorospatha Engl.",0.98,0.02,"closed","closed","closed",0,1
"Warneckea Gilg",0.83,0.17,"closed","closed","closed",0,1
"Barbacenia Vand.",0.49,0.51,"open","open","closed",1,1
"Arctostaphylos Adans.",0.56,0.44,"closed","open","closed",1,1
"Xerophyta Juss.",0.47,0.53,"open","open","closed",1,1
"Asplundia Harling",0.96,0.04,"closed","closed","closed",0,1
"Siphoneugena O.Berg",0.62,0.38,"closed","closed","closed",1,1
"Monanthotaxis Baill.",0.79,0.21,"closed","closed","closed",0,1
"Pseudobombax Dugand",0.44,0.56,"open","open","closed",1,1
"Macrosamanea Britton & Rose",0.93,0.07,"closed","closed","closed",0,1
"Juglans L.",0.55,0.45,"closed","open","closed",1,1
"Chusquea Kunth",0.85,0.15,"closed","closed","closed",0,1
"Thoracocarpus Harling",1,0,"closed","closed","closed",0,1
"Euroschinus Hook.fil.",0.96,0.04,"closed","closed","closed",0,1
"Nicotiana L.",0,1,"open","open","open",1,0
"Enterolobium Mart.",0.67,0.33,"closed","closed","closed",1,1
"Meiogyne Miq.",0.88,0.12,"closed","closed","closed",0,1
"Castanopsis (D.Don) Spach",0.98,0.02,"closed","closed","closed",0,1
"Friesodielsia Steenis",1,0,"closed","closed","closed",0,1
"Pseudoxandra R.E.Fr.",1,0,"closed","closed","closed",0,1
"Neanotis W.H.Lewis",0.95,0.05,"closed","closed","closed",0,1
"Deprea Raf.",0.98,0.02,"closed","closed","closed",0,1
"Thamnochortus P.J.Bergius",0,1,"open","open","open",1,0
"Restio Rottb.",0,1,"open","open","open",1,0
"Carpinus L.",0.91,0.09,"closed","closed","closed",0,1
"Ephedranthus S.Moore",0.73,0.27,"closed","closed","closed",1,1
"Alcantarea (É.Morren ex Mez) Harms",0.92,0.08,"closed","closed","closed",0,1
"Ficus Röding, 1798",1,0,"closed","closed","closed",0,1
"Antirrhinum L.",0.17,0.83,"open","open","open",1,0
"Elymus L.",0.88,0.12,"closed","closed","closed",0,1
"Rostraria Trin.",0.07,0.93,"open","open","open",1,0
"Helictotrichon Besser",0.56,0.44,"closed","open","closed",1,1
"Uvariopsis Engl.",0.91,0.09,"closed","closed","closed",0,1
"Hemiboea C.B.Clarke",1,0,"closed","closed","closed",0,1
"Protorhus Engl.",1,0,"closed","closed","closed",0,1
"Sclerophylax Miers",0,1,"open","open","open",1,0
"Pseudochaetochloa Hitchc.",0,1,"open","open","open",1,0
"Athenaea Sendtn.",0.88,0.12,"closed","closed","closed",0,1
"Pseudomalmea Chatrou",1,0,"closed","closed","closed",0,1
"Oryzopsis Michx.",0.89,0.11,"closed","closed","closed",0,1
"Didymocarpus Wall.",1,0,"closed","closed","closed",0,1
"Inga Busck, 1908",1,0,"closed","closed","closed",0,1
"Chaenorhinum (DC.) Rchb.",0.23,0.77,"open","open","open",1,0
"Gorgonidium Schott",1,0,"closed","closed","closed",0,1
"Bunium L.",0.43,0.57,"open","open","closed",1,1
"Anadendrum Schott",1,0,"closed","closed","closed",0,1
"Ehrharta Thunb.",0.5,0.5,"closed","open","closed",1,1
"Croton L.",0,1,"open","open","open",1,0
"Jupunba Britton & Rose",1,0,"closed","closed","closed",0,1
"Metternichia J.C.Mikan",0.86,0.14,"closed","closed","closed",0,1
"Caryota L.",0.88,0.12,"closed","closed","closed",0,1
"Fargesia Franch.",1,0,"closed","closed","closed",0,1
"Kinabaluchloa K.M.Wong",1,0,"closed","closed","closed",0,1
"Erysimum Tourn. ex L.",0.85,0.15,"closed","closed","closed",0,1
"Lepturus R.Br.",0.3,0.7,"open","open","open",1,1
"Gaulettia Sothers & Prance",1,0,"closed","closed","closed",0,1
"Stigmatodon Leme, G.K.Br. & Barfuss",1,0,"closed","closed","closed",0,1
"Hypodiscus Nees",0,1,"open","open","open",1,0
"Meniocus Desv.",0,1,"open","open","open",1,0
"Drimycarpus Hook.fil.",1,0,"closed","closed","closed",0,1
"Woodiellantha Rauschert",1,0,"closed","closed","closed",0,1
"Reyesia Gay",0,1,"open","open","open",1,0
"Amblygonocarpus andongensis (Welw. ex Oliv.) Exell & Torre",0.23,0.77,"open","open","open",1,0
"Vachellia farnesiana (L.) Wight & Arn.",0.55,0.45,"closed","open","closed",1,1
"Calliandra haematomma (Bertero ex DC.) Benth.",0.79,0.21,"closed","closed","closed",0,1
"Chamaecrista diphylla (L.) Greene",0.59,0.41,"closed","open","closed",1,1
"Inga vera Willd.",0.71,0.29,"closed","closed","closed",1,1
"Eugenia monticola (Sw.) DC.",0.95,0.05,"closed","closed","closed",0,1
"Pimenta haitiensis (Urb.) Landrum",1,0,"closed","closed","closed",0,1
"Eugenia axillaris (Sw.) Willd.",0.84,0.16,"closed","closed","closed",0,1
"Eugenia pseudopsidium Jacq.",0.96,0.04,"closed","closed","closed",0,1
"Parasenegalia vogeliana (Steud.) Seigler & Ebinger",1,0,"closed","closed","closed",0,1
"Mimosa domingensis (Bertero ex DC.) Benth.",1,0,"closed","closed","closed",0,1
"Cojoba filipes (Vent.) Barneby & J.W.Grimes",1,0,"closed","closed","closed",0,1
"Inga laurina (Sw.) Willd.",0.68,0.32,"closed","closed","closed",1,1
"Desmanthus virgatus (L.) Willd.",0.43,0.57,"open","open","closed",1,1
"Myrcia amazonica DC.",0.76,0.24,"closed","closed","closed",0,1
"Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger",0.7,0.3,"closed","closed","closed",1,1
"Eugenia domingensis O.Berg",0.89,0.11,"closed","closed","closed",0,1
"Eugenia foetida Pers.",0.81,0.19,"closed","closed","closed",0,1
"Myrcianthes fragrans (Sw.) McVaugh",0.92,0.08,"closed","closed","closed",0,1
"Eugenia fajardensis (Krug & Urb.) Urb.",1,0,"closed","closed","closed",0,1
"Myrcia fenzliana O.Berg",0.37,0.63,"open","open","open",1,1
"Pimenta racemosa var. ozua (Urb. & Ekman) Landrum",1,0,"closed","closed","closed",0,1
"Pimenta racemosa (Mill.) J.W.Moore",1,0,"closed","closed","closed",0,1
"Pimenta racemosa var. grisea (Kiaersk.) Fosberg",0.91,0.09,"closed","closed","closed",0,1
"Pimenta racemosa var. racemosa",0.88,0.12,"closed","closed","closed",0,1
"Eugenia rhombea (O.Berg) Krug & Urb. ex Urb.",0.87,0.13,"closed","closed","closed",0,1
"Carya illinoinensis (Wangenh.) K.Koch",0.41,0.59,"open","open","closed",1,1
"Carya ovata (Mill.) K.Koch",0.82,0.18,"closed","closed","closed",0,1
"Ludwigia octovalvis (Jacq.) P.H.Raven",0.6,0.4,"closed","closed","closed",1,1
"Ludwigia glandulosa Walter",0.82,0.18,"closed","closed","closed",0,1
"Carex vulpinoidea Michx.",0.69,0.31,"closed","closed","closed",1,1
"Carex willdenowii Willd.",0.99,0.01,"closed","closed","closed",0,1
"Carex tribuloides Wahlenb.",0.81,0.19,"closed","closed","closed",0,1
"Carex turgescens Torr.",1,0,"closed","closed","closed",0,1
"Carex umbellata Willd.",0.85,0.15,"closed","closed","closed",0,1
"Carex venusta Dewey",1,0,"closed","closed","closed",0,1
"Carex typhina Michx.",0.84,0.16,"closed","closed","closed",0,1
"Circaea alpina L.",0.88,0.12,"closed","closed","closed",0,1
"Epilobium pygmaeum (Munz) Hoch & P.H.Raven",0.25,0.75,"open","open","open",1,0
"Carya tomentosa (Lam.) Nutt.",0.87,0.13,"closed","closed","closed",0,1
"Juglans major (Torr.) A.Heller",0.46,0.54,"open","open","closed",1,1
"Juglans nigra L.",0.66,0.34,"closed","closed","closed",1,1
"Calamagrostis canadensis (Michx.) P.Beauv.",0.78,0.22,"closed","closed","closed",0,1
"Carex stricta Lam.",0.85,0.15,"closed","closed","closed",0,1
"Carex styloflexa Buckley",0.99,0.01,"closed","closed","closed",0,1
"Carex oklahomensis Mack.",0.85,0.15,"closed","closed","closed",0,1
"Carex stipata Muhl. ex Willd.",0.83,0.17,"closed","closed","closed",0,1
"Carex caroliniana Schwein.",0.86,0.14,"closed","closed","closed",0,1
"Carex texensis (Torr. ex L.H.Bailey) L.H.Bailey",0.82,0.18,"closed","closed","closed",0,1
"Carex squarrosa L.",0.77,0.23,"closed","closed","closed",0,1
"Carex socialis Mohlenbr. & Schwegman",0.97,0.03,"closed","closed","closed",0,1
"Carex striatula Michx.",1,0,"closed","closed","closed",0,1
"Carya glabra (Mill.) Sweet",0.92,0.08,"closed","closed","closed",0,1
"Chasmanthium laxum (L.) H.O.Yates",0.97,0.03,"closed","closed","closed",0,1
"Chasmanthium sessiliflorum (Poir.) Yates",0.94,0.06,"closed","closed","closed",0,1
"Carex oxylepis Torr. & Hook.",0.92,0.08,"closed","closed","closed",0,1
"Carex pensylvanica Lam.",0.79,0.21,"closed","closed","closed",0,1
"Carex picta Steud.",1,0,"closed","closed","closed",0,1
"Carex plantaginea Lam.",0.99,0.01,"closed","closed","closed",0,1
"Chasmanthium latifolium (Michx.) H.O.Yates",0.7,0.3,"closed","closed","closed",1,1
"Carex rosea Willd.",0.79,0.21,"closed","closed","closed",0,1
"Carex utriculata Boott",0.79,0.21,"closed","closed","closed",0,1
"Carex scabrata Schwein.",1,0,"closed","closed","closed",0,1
"Carex shortiana Dewey & Torr.",0.58,0.42,"closed","open","closed",1,1
"Carex simulata Mack.",0.66,0.34,"closed","closed","closed",1,1
"Chloris virgata Sw.",0.31,0.69,"open","open","open",1,1
"Carex prasina Wahlenb.",0.99,0.01,"closed","closed","closed",0,1
"Carex platyphylla J.Carey",1,0,"closed","closed","closed",0,1
"Carex reniformis (L.H.Bailey) Small",0.76,0.24,"closed","closed","closed",0,1
"Carex retroflexa Muhl. ex Willd.",0.77,0.23,"closed","closed","closed",0,1
"Coelorachis rugosa (Nutt.) Nash",0.93,0.07,"closed","closed","closed",0,1
"Carex retrorsa Schwein.",0.84,0.16,"closed","closed","closed",0,1
"Bothriochloa barbinodis (Lag.) Herter",0.26,0.74,"open","open","open",1,1
"Morella caroliniensis (Mill.) Small",1,0,"closed","closed","closed",0,1
"Carex lurida Wahlenb.",0.92,0.08,"closed","closed","closed",0,1
"Morella inodora (Bartram) Small",1,0,"closed","closed","closed",0,1
"Carex meadii Dewey",0.35,0.65,"open","open","open",1,1
"Carex microdonta Torr.",0.38,0.62,"open","open","open",1,1
"Carex misera Buckley",1,0,"closed","closed","closed",0,1
"Carex lupulina Muhl. ex Willd.",0.83,0.17,"closed","closed","closed",0,1
"Lachnocaulon anceps (Walter) Morong",0.97,0.03,"closed","closed","closed",0,1
"Carex louisianica L.H.Bailey",0.93,0.07,"closed","closed","closed",0,1
"Carex lupuliformis Sartwell ex Dewey",0.84,0.16,"closed","closed","closed",0,1
"Carex muehlenbergii Willd.",0.81,0.19,"closed","closed","closed",0,1
"Carex xalapensis Kunth",0.86,0.14,"closed","closed","closed",0,1
"Carex nigromarginata Schwein.",0.99,0.01,"closed","closed","closed",0,1
"Carex normalis Mack.",0.8,0.2,"closed","closed","closed",0,1
"Brachyelytrum erectum (Schreb.) P.Beauv.",0.84,0.16,"closed","closed","closed",0,1
"Linaria canadensis (L.) Chaz.",0.92,0.08,"closed","closed","closed",0,1
"Bouteloua aristidoides (Kunth) Griseb.",0.19,0.81,"open","open","open",1,0
"Bouteloua curtipendula (Michx.) Torr.",0.29,0.71,"open","open","open",1,1
"Carex leptalea Wahlenb.",0.92,0.08,"closed","closed","closed",0,1
"Carex leptonervia (Fernald) Fernald",0.99,0.01,"closed","closed","closed",0,1
"Carex laevivaginata (Kük.) Mack.",0.94,0.06,"closed","closed","closed",0,1
"Carex laxiculmis Schwein.",0.93,0.07,"closed","closed","closed",0,1
"Carex laxiflora Lam.",0.95,0.05,"closed","closed","closed",0,1
"Carex gracilescens Steud.",0.91,0.09,"closed","closed","closed",0,1
"Carex leavenworthii Dewey",0.65,0.35,"closed","closed","closed",1,1
"Rhexia virginica L.",0.96,0.04,"closed","closed","closed",0,1
"Asclepias variegata L.",0.99,0.01,"closed","closed","closed",0,1
"Rhexia mariana L.",0.94,0.06,"closed","closed","closed",0,1
"Carex exilis Dewey",1,0,"closed","closed","closed",0,1
"Carex festucacea Willd.",0.82,0.18,"closed","closed","closed",0,1
"Anagallis minima (L.) E.H.L.Krause",0.62,0.38,"closed","closed","closed",1,1
"Rhexia petiolata Walter",1,0,"closed","closed","closed",0,1
"Carex flaccosperma Dewey",0.87,0.13,"closed","closed","closed",0,1
"Carex blanda Dewey",0.68,0.32,"closed","closed","closed",1,1
"Rhexia nashii Small",0.98,0.02,"closed","closed","closed",0,1
"Carex glaucescens Elliott",0.98,0.02,"closed","closed","closed",0,1
"Carex gracillima Schwein.",0.94,0.06,"closed","closed","closed",0,1
"Carex granularis Muhl. ex Willd.",0.82,0.18,"closed","closed","closed",0,1
"Carex glaucodea Tuck. ex Olney",0.91,0.09,"closed","closed","closed",0,1
"Carex grayi J.Carey",0.76,0.24,"closed","closed","closed",0,1
"Carex hirsutella Mack.",0.77,0.23,"closed","closed","closed",0,1
"Carex gynandra Schwein.",1,0,"closed","closed","closed",0,1
"Lysimachia lanceolata Walter",0.84,0.16,"closed","closed","closed",0,1
"Lysimachia radicans Hook.",1,0,"closed","closed","closed",0,1
"Carex gigantea Rudge",0.96,0.04,"closed","closed","closed",0,1
"Morella cerifera (L.) Small",0.93,0.07,"closed","closed","closed",0,1
"Carex intumescens Rudge",0.97,0.03,"closed","closed","closed",0,1
"Carex jamesii Schwein.",0.7,0.3,"closed","closed","closed",1,1
"Carex joorii L.H.Bailey",0.97,0.03,"closed","closed","closed",0,1
"Carex hyalinolepis Steud.",0.62,0.38,"closed","closed","closed",1,1
"Aristida purpurascens Poir.",0.75,0.25,"closed","closed","closed",0,1
"Aristida oligantha Michx.",0.51,0.49,"closed","open","closed",1,1
"Lysimachia quadrifolia L.",0.99,0.01,"closed","closed","closed",0,1
"Lysimachia terrestris (L.) Britton, Sterns & Poggenb.",0.97,0.03,"closed","closed","closed",0,1
"Aristida stricta Michx.",0.97,0.03,"closed","closed","closed",0,1
"Carex folliculata L.",0.99,0.01,"closed","closed","closed",0,1
"Carex frankii Kunth",0.74,0.26,"closed","closed","closed",1,1
"Lysimachia ciliata L.",0.71,0.29,"closed","closed","closed",1,1
"Aristida ramosissima Engelm. ex A.Gray",0.5,0.5,"closed","open","closed",1,1
"Rhexia alifanus Walter",1,0,"closed","closed","closed",0,1
"Carex crebriflora Wiegand",1,0,"closed","closed","closed",0,1
"Aristida purpurea Nutt.",0.11,0.89,"open","open","open",1,0
"Carex corrugata Fernald",0.85,0.15,"closed","closed","closed",0,1
"Carex cristatella Britton",0.65,0.35,"closed","closed","closed",1,1
"Carex crinita Lam.",0.97,0.03,"closed","closed","closed",0,1
"Panicum verrucosum Muhl.",0.97,0.03,"closed","closed","closed",0,1
"Carex communis L.H.Bailey",0.99,0.01,"closed","closed","closed",0,1
"Panicum virgatum L.",0.49,0.51,"open","open","closed",1,1
"Carex comosa Boott",0.91,0.09,"closed","closed","closed",0,1
"Aristida curtissii (A.Gray) Nash",0.69,0.31,"closed","closed","closed",1,1
"Carex cherokeensis Schwein.",0.79,0.21,"closed","closed","closed",0,1
"Aristida palustris (Chapm.) Vasey",0.98,0.02,"closed","closed","closed",0,1
"Aristida dichotoma Michx.",0.8,0.2,"closed","closed","closed",0,1
"Carex complanata Torr. & Hook.",0.94,0.06,"closed","closed","closed",0,1
"Rhexia lutea Walter",0.97,0.03,"closed","closed","closed",0,1
"Carex digitalis Willd.",0.96,0.04,"closed","closed","closed",0,1
"Anagallis arvensis L.",0.54,0.46,"closed","open","closed",1,1
"Anagallis monelli M.Bieb.",0.5,0.5,"closed","open","closed",1,1
"Rhexia cubensis Griseb.",0.91,0.09,"closed","closed","closed",0,1
"Carex debilis Michx.",0.99,0.01,"closed","closed","closed",0,1
"Panicum rigidulum Bosc ex Nees",0.81,0.19,"closed","closed","closed",0,1
"Andropogon ternarius Michx.",0.79,0.21,"closed","closed","closed",0,1
"Panicum anceps Michx.",0.87,0.13,"closed","closed","closed",0,1
"Aristida adscensionis L.",0.26,0.74,"open","open","open",1,1
"Aristida effusa Henrard",0,1,"open","open","open",1,0
"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",0.73,0.27,"closed","closed","closed",1,1
"Panicum obtusum Kunth",0.19,0.81,"open","open","open",1,0
"Panicum commutatum Schult.",0.96,0.04,"closed","closed","closed",0,1
"Ammophila breviligulata Fernald",0.95,0.05,"closed","closed","closed",0,1
"Agrostis scabra Willd.",0.76,0.24,"closed","closed","closed",0,1
"Schizachyrium scoparium (Michx.) Nash",0.52,0.48,"closed","open","closed",1,1
"Toxicodendron pubescens Mill.",0.91,0.09,"closed","closed","closed",0,1
"Panicum dichotomiflorum Michx.",0.54,0.46,"closed","open","closed",1,1
"Panicum flexile (Gatt.) Scribn.",0.83,0.17,"closed","closed","closed",0,1
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",0.73,0.27,"closed","closed","closed",1,1
"Daucus pusillus Michx.",0.42,0.58,"open","open","closed",1,1
"Phalaris caroliniana Walter",0.38,0.62,"open","open","open",1,1
"Sphenopholis obtusata (Michx.) Scribn.",0.5,0.5,"closed","open","closed",1,1
"Carex bushii Mack.",0.63,0.37,"closed","closed","closed",1,1
"Oenothera laciniata Hill",0.62,0.38,"closed","closed","closed",1,1
"Panicum clandestinum L.",0.75,0.25,"closed","closed","closed",0,1
"Asclepias amplexicaulis Sm.",0.76,0.24,"closed","closed","closed",0,1
"Quercus nigra L.",0.93,0.07,"closed","closed","closed",0,1
"Solanum carolinense L.",0.72,0.28,"closed","closed","closed",1,1
"Panicum capillare L.",0.52,0.48,"closed","open","closed",1,1
"Quercus falcata Michx.",0.94,0.06,"closed","closed","closed",0,1
